ID	Sex	Ci
261	1	2
262	2	1
263	1	1
264	2	1
265	2	1
266	1	2
267	2	1
268	1	1
269	1	1
270	1	1
271	2	3
272	1	1
273	2	1
274	2	1
275	1	1
276	2	1
277	2	1
278	1	1
279	2	1
280	2	1
281	1	1
282	2	1
283	1	1
284	1	1
285	1	1
286	1	1
287	2	1
288	1	2
289	2	1
290	1	1
291	1	1
292	2	3
293	2	1
294	2	1
295	2	1
296	1	1
297	1	1
298	1	1
299	1	2
300	1	1
301	1	1
302	1	1
303	1	1
304	2	1
305	2	2
306	1	2
307	1	2
308	1	3
309	1	2
310	1	2
311	1	3
312	1	1
313	1	4
314	2	4
315	1	2
316	1	1
317	2	1
318	1	1
319	2	2
320	2	4
321	2	3
322	2	1
323	2	1
324	1	2
325	2	1
326	1	1
327	1	1
328	1	1
329	1	1
330	1	2
331	1	2
332	1	1
333	2	1
334	1	1
335	1	1
336	2	2
337	1	1
338	1	1
339	1	1
340	1	2
341	1	1
342	1	2
343	2	1
344	1	1
345	2	1
346	2	1
347	1	1
348	2	2
349	1	1
350	2	1
351	1	2
352	1	1
353	2	1
354	2	1
355	2	1
356	2	1
357	1	2
358	1	2
359	1	2
360	1	2
361	1	1
362	1	1
363	1	3
364	1	2
365	2	2
366	2	2
367	1	2
368	1	2
369	1	2
370	2	3
371	1	3
372	2	2
373	1	4
374	1	2
375	1	3
376	1	2
377	2	3
378	2	2
379	1	3
380	1	3
381	1	3
382	1	3
383	1	3
384	1	3
385	1	4
386	2	2
387	2	3
388	1	2
389	1	4
390	2	4
391	1	3
392	1	4
393	2	4
394	1	4
395	1	4
396	1	4
397	1	4
398	1	3
399	1	4
400	2	4
401	1	4
402	1	4
403	2	3
404	1	6
405	2	4
406	1	5
407	1	4
408	1	4
409	1	4
410	1	4
411	1	3
412	1	4
413	1	4
414	1	4
415	1	5
416	1	4
417	2	5
418	1	4
419	2	4
420	1	5
421	1	4
422	1	4
423	1	4
424	2	4
425	1	4
426	1	4
427	1	4
428	1	4
429	1	4
430	2	4
431	1	4
432	1	4
433	1	4
434	1	4
435	1	5
436	1	5
437	1	5
438	2	4
439	1	5
440	2	4
441	1	5
442	1	5
443	1	5
444	1	4
445	1	3
446	1	5
447	1	5
448	2	3
449	2	6
450	1	6
451	1	3
452	1	4
453	1	5
454	1	6
455	2	5
456	1	6
457	1	5
458	2	5
459	2	5
460	1	4
461	2	5
462	1	7
463	1	6
464	1	6
465	1	5
466	1	5
467	1	5
468	2	5
469	1	7
470	1	7
471	1	6
472	1	8
473	2	7
474	1	6
475	2	5
476	1	7
477	1	5
478	1	6
479	1	6
480	2	7
481	1	7
482	1	6
483	1	6
484	1	7
485	1	7
486	1	7
487	1	6
488	1	6
489	1	6
490	1	6
491	1	6
492	1	6
493	1	6
494	1	6
495	1	7
496	1	6
497	1	6
498	1	7
499	1	6
500	1	8
501	2	6
502	1	6
503	1	7
504	1	6
505	1	7
506	2	7
507	1	7
508	2	5
509	2	6
510	2	5
511	2	6
512	2	7
513	2	4
514	1	4
515	1	2
516	2	4
517	1	1
518	1	4
519	2	4
520	1	3
521	1	2
522	2	1
523	1	2
524	2	3
525	1	4
526	2	2
527	1	4
528	1	4
529	1	3
530	2	4
531	1	4
532	1	3
533	1	3
534	2	3
535	1	8
536	1	4
537	2	1
538	1	4
539	1	4
540	1	7
541	1	3
542	2	4
543	1	3
544	2	5
545	1	2
546	2	4
547	1	5
548	1	7
549	1	8
550	1	4
551	1	4
552	1	1
553	2	1
554	1	1
555	1	4
556	1	4
557	1	4
558	1	4
559	1	6
560	1	4
561	1	7
562	1	8
563	1	9
564	1	6
565	1	5
566	1	8
567	1	5
568	1	8
569	2	6
570	1	2
571	1	8
572	1	8
573	1	4
574	1	8
575	1	9
576	1	7
577	1	7
578	1	6
579	1	5
580	1	5
581	2	9
582	1	8
583	1	6
584	3	1
585	3	1
586	1	1
587	3	1
588	3	1
589	1	2
590	3	1
591	3	1
592	3	1
593	3	1
594	3	1
595	3	1
596	3	1
597	3	1
598	3	1
599	1	3
600	3	1
601	3	1
602	3	1
603	3	1
604	3	1
605	3	1
606	3	1
607	3	1
608	3	1
609	3	1
610	1	2
611	3	1
612	3	1
613	3	1
614	3	1
615	3	1
616	3	1
617	3	1
618	3	1
619	3	1
620	3	1
621	3	1
622	3	1
623	3	1
624	3	1
625	3	1
626	1	3
627	3	1
628	3	1
629	3	1
630	3	1
631	3	1
632	3	1
633	3	1
634	3	1
635	3	1
636	3	1
637	3	1
638	3	1
639	3	1
640	3	1
641	3	1
642	3	1
643	3	1
644	3	1
645	3	1
646	1	1
647	2	1
648	2	1
649	3	1
650	1	6
651	1	8
652	1	6
653	1	8
654	1	6
655	2	5
656	1	8
657	1	7
658	2	6
659	1	7
660	1	8
661	1	8
662	1	8
663	1	6
664	1	7
665	2	8
666	1	8
667	1	6
668	1	7
669	2	8
670	1	7
671	2	6
672	2	7
673	1	7
674	1	6
675	1	6
676	1	7
677	1	7
678	2	7
679	1	7
680	1	8
681	1	8
682	1	8
683	2	5
684	2	7
685	2	8
686	2	6
687	1	7
688	1	8
689	1	7
690	2	6
691	1	7
692	1	8
693	1	6
694	1	8
695	1	7
696	1	7
697	1	7
698	2	7
699	1	8
700	1	7
701	1	7
702	1	8
703	2	7
704	1	7
705	1	8
706	2	7
707	1	8
708	1	8
709	2	7
710	1	7
711	2	7
712	1	7
713	1	8
714	1	6
715	1	6
716	2	8
717	1	8
718	1	7
719	1	7
720	1	8
721	1	8
722	1	6
723	1	7
724	1	8
725	2	7
726	2	7
727	1	8
728	1	7
729	1	8
730	2	8
731	2	7
732	1	7
733	2	8
734	1	7
735	1	7
736	2	7
737	2	6
738	1	8
739	2	7
740	1	8
741	2	6
742	1	7
743	1	7
744	1	7
745	1	7
746	1	7
747	1	7
748	1	8
749	1	8
750	2	8
751	1	8
752	2	7
753	1	6
754	1	8
755	1	9
756	1	7
757	2	7
758	2	7
759	1	8
760	1	7
761	1	6
762	1	8
763	2	7
764	1	7
765	1	8
766	1	8
767	1	9
768	2	7
769	1	7
770	1	8
771	1	7
772	1	7
773	1	8
774	2	6
775	1	7
776	1	8
777	1	7
778	1	9
779	1	8
780	2	7
781	1	9
782	1	8
783	1	8
784	1	7
785	2	7
786	1	7
787	1	8
788	1	8
789	1	7
790	1	7
791	1	8
792	2	8
793	1	8
794	1	7
795	1	8
796	1	8
797	1	8
798	1	8
799	1	8
800	1	8
801	1	9
802	1	8
803	2	8
804	2	8
805	1	8
806	1	8
807	1	8
808	1	8
809	1	8
810	1	8
811	1	8
812	1	7
813	1	8
814	1	7
815	1	8
816	1	9
817	1	8
818	1	8
819	1	8
820	1	8
821	1	9
822	2	9
823	1	8
824	1	9
825	1	8
826	1	9
827	1	8
828	1	9
829	1	8
830	1	11
831	1	9
832	1	9
833	2	8
834	1	8
835	1	8
836	1	8
837	1	10
838	1	11
839	1	10
840	1	9
841	1	9
842	1	9
843	1	8
844	1	8
845	1	10
846	1	8
847	1	9
848	1	9
849	1	9
850	1	10
851	1	10
852	1	9
853	1	9
854	1	10
855	1	8
856	1	9
857	1	10
858	1	9
859	1	9
860	1	9
861	1	10
862	1	10
863	1	9
864	1	11
865	1	12
866	1	10
867	1	10
868	1	10
869	1	10
870	1	9
871	1	6
872	1	9
873	1	9
874	1	10
875	1	9
876	1	12
877	1	9
878	1	10
879	1	9
880	1	10
881	1	10
882	1	9
883	1	9
884	1	9
885	1	11
886	3	1
887	3	1
888	3	1
889	3	1
890	3	1
891	3	1
892	3	1
893	3	1
894	3	1
895	3	1
896	3	1
897	3	1
898	3	1
899	3	1
900	1	9
901	1	9
902	1	10
903	1	9
904	1	9
905	1	10
906	1	10
907	1	10
908	1	9
909	1	10
910	1	10
911	1	10
912	1	9
913	1	9
914	1	9
915	1	10
916	1	10
917	1	9
918	1	9
919	1	9
920	1	9
921	1	7
922	1	10
923	1	9
924	1	9
925	2	9
926	1	9
927	1	10
928	1	9
929	1	9
930	1	7
931	1	10
932	1	12
933	1	9
934	1	10
935	1	10
936	1	10
937	1	10
938	1	10
939	1	10
940	1	10
941	1	10
942	1	10
943	1	9
944	1	10
945	1	10
946	1	9
947	2	10
948	1	10
949	1	10
950	1	11
951	1	9
952	1	10
953	2	10
954	2	5
955	1	10
956	1	10
957	1	10
958	3	1
959	1	10
960	1	8
961	1	10
962	2	7
963	2	10
964	1	10
965	1	10
966	1	9
967	1	10
968	1	10
969	1	11
970	1	9
971	1	10
972	1	10
973	2	6
974	1	10
975	1	10
976	1	11
977	1	10
978	1	9
979	1	10
980	1	11
981	1	5
982	2	11
983	1	9
984	1	9
985	1	10
986	1	9
987	1	10
988	1	10
989	1	10
990	1	11
991	1	7
992	1	11
993	1	11
994	1	10
995	1	10
996	2	10
997	1	10
998	1	10
999	1	10
1000	1	11
1001	1	9
1002	1	10
1003	1	7
1004	1	10
1005	1	11
1006	2	10
1007	1	10
1008	1	11
1009	1	11
1010	1	11
1011	1	10
1012	1	11
1013	1	11
1014	1	10
1015	1	11
1016	1	10
1017	1	10
1018	1	11
1019	2	1
1020	2	1
1021	2	1
1022	1	1
1023	1	1
1024	1	1
1025	1	10
1026	1	11
1027	1	11
1028	1	11
1029	1	11
1030	1	9
1031	2	1
1032	1	2
1033	1	1
1034	1	11
1035	1	13
1036	2	9
1037	1	10
1038	1	11
1039	1	9
1040	1	1
1041	1	13
1042	1	6
1043	1	8
1044	1	10
1045	2	1
1046	2	9
1047	1	9
1048	1	9
1049	2	6
1050	1	11
1051	1	11
1052	2	1
1053	2	12
1054	2	7
1055	1	1
1056	1	12
1057	1	6
1058	1	10
1059	2	10
1060	2	2
1061	2	11
1062	1	10
1063	1	6
1064	1	13
1065	1	1
1066	1	7
1067	1	1
1068	2	1
1069	2	1
1070	1	12
1071	1	11
1072	1	12
1073	1	11
1074	2	6
1075	1	7
1076	1	10
1077	1	13
1078	2	11
1079	1	10
1080	1	11
1081	1	2
1082	1	9
1083	1	13
1084	1	11
1085	1	11
1086	1	2
1087	2	10
1088	1	10
1089	2	9
1090	1	9
1091	2	9
1092	1	9
1093	1	12
1094	1	11
1095	2	10
1096	2	10
1097	1	10
1098	1	12
1099	1	11
1100	1	11
1101	1	11
1102	1	11
1103	1	11
1104	1	7
1105	1	11
1106	2	11
1107	1	2
1108	1	11
1109	1	11
1110	1	11
1111	1	2
1112	1	2
1113	3	1
1114	3	1
1115	1	12
1116	3	1
1117	3	1
1118	3	1
1119	1	11
1120	1	11
1121	1	11
1122	2	9
1123	2	11
1124	1	11
1125	2	2
1126	1	13
1127	1	11
1128	1	13
1129	1	8
1130	1	13
1131	1	13
1132	1	12
1133	1	12
1134	1	13
1135	1	12
1136	3	1
1137	1	13
1138	1	14
1139	1	14
1140	1	14
1141	1	15
1142	1	14
1143	1	14
1144	1	14
1145	1	15
1146	2	14
1147	2	14
1148	1	15
1149	1	14
1150	1	14
1151	2	14
1152	1	15
1153	1	14
1154	1	14
1155	1	15
1156	1	14
1157	1	15
1158	1	15
1159	1	14
1160	1	14
1161	1	15
1162	2	15
1163	1	14
1164	1	15
1165	1	15
1166	1	14
1167	2	14
1168	1	14
1169	1	15
1170	1	15
1171	1	14
1172	1	15
1173	1	15
1174	1	15
1175	1	14
1176	1	14
1177	1	15
1178	2	15
1179	2	14
1180	1	14
1181	1	14
1182	1	15
1183	1	15
1184	1	15
1185	1	15
1186	2	14
1187	1	14
1188	1	14
1189	1	14
1190	1	15
1191	2	14
1192	2	15
1193	2	15
1194	1	14
1195	1	14
1196	1	15
1197	1	14
1198	1	15
1199	1	15
1200	2	14
1201	1	14
1202	1	14
1203	1	14
1204	1	15
1205	1	14
1206	1	14
1207	1	14
1208	1	14
1209	1	14
1210	1	14
1211	1	14
1212	1	15
1213	1	14
1214	1	14
1215	1	14
1216	1	15
1217	1	14
1218	1	15
1219	1	14
1220	1	15
1221	1	14
1222	1	14
1223	2	14
1224	1	14
1225	2	14
1226	1	14
1227	1	14
1228	1	14
1229	2	14
1230	1	15
1231	2	14
1232	1	14
1233	1	15
1234	1	14
1235	1	15
1236	2	14
1237	1	15
1238	1	14
1239	2	14
1240	1	14
1241	1	14
1242	1	15
1243	1	15
1244	1	15
1245	1	14
1246	1	14
1247	1	14
1248	2	2
1249	2	2
1250	2	2
1251	2	2
1252	1	7
1253	2	2
1254	1	2
1255	1	3
1256	1	2
1257	1	3
1258	2	2
1259	1	2
1260	1	4
1261	2	2
1262	1	2
1263	1	2
1264	1	4
1265	1	4
1266	1	4
1267	2	3
1268	1	4
1269	1	3
1270	1	3
1271	2	2
1272	1	2
1273	1	2
1274	1	2
1275	2	2
1276	1	7
1277	1	2
1278	1	2
1279	1	2
1280	2	8
1281	1	4
1282	1	4
1283	1	6
1284	1	3
1285	1	4
1286	1	5
1287	2	3
1288	1	5
1289	1	2
1290	1	4
1291	2	2
1292	2	2
1293	1	2
1294	1	2
1295	1	2
1296	1	2
1297	1	2
1298	2	2
1299	1	2
1300	1	2
1301	1	2
1302	2	2
1303	1	2
1304	2	2
1305	3	3
1306	1	2
1307	1	2
1308	1	2
1309	2	2
1310	1	2
1311	1	2
1312	1	3
1313	1	3
1314	1	3
1315	2	3
1316	1	2
1317	2	2
1318	1	3
1319	3	3
1320	2	2
1321	1	3
1322	3	3
1323	1	2
1324	2	2
1325	1	2
1326	1	2
1327	1	2
1328	3	3
1329	1	2
1330	1	2
1331	1	2
1332	1	4
1333	1	4
1334	2	2
1335	1	3
1336	1	2
1337	2	2
1338	2	2
1339	1	2
1340	1	3
1341	1	4
1342	2	3
1343	2	3
1344	1	2
1345	2	2
1346	2	2
1347	2	2
1348	1	2
1349	2	2
1350	1	2
1351	1	3
1352	1	2
1353	1	3
1354	1	3
1355	1	3
1356	1	3
1357	2	2
1358	1	2
1359	2	2
1360	1	3
1361	1	2
1362	1	4
1363	1	3
1364	1	4
1365	2	3
1366	2	2
1367	1	3
1368	2	3
1369	2	3
1370	1	3
1371	2	3
1372	1	5
1373	1	4
1374	1	5
1375	1	4
1376	2	4
1377	1	4
1378	1	4
1379	1	4
1380	2	4
1381	1	5
1382	2	3
1383	1	3
1384	2	4
1385	1	4
1386	2	3
1387	1	5
1388	1	6
1389	1	4
1390	1	3
1391	3	3
1392	1	5
1393	1	4
1394	2	3
1395	1	4
1396	1	4
1397	1	5
1398	1	3
1399	1	4
1400	1	3
1401	2	4
1402	1	4
1403	1	5
1404	2	4
1405	1	4
1406	2	3
1407	1	5
1408	2	3
1409	2	3
1410	1	5
1411	1	5
1412	2	3
1413	2	4
1414	1	5
1415	1	4
1416	2	4
1417	2	4
1418	1	5
1419	2	5
1420	1	6
1421	1	4
1422	1	5
1423	2	4
1424	1	5
1425	2	4
1426	1	5
1427	2	5
1428	1	5
1429	2	5
1430	2	5
1431	2	6
1432	1	6
1433	1	5
1434	1	5
1435	2	5
1436	1	4
1437	1	5
1438	2	5
1439	1	5
1440	1	5
1441	2	5
1442	1	4
1443	2	5
1444	2	5
1445	1	5
1446	1	5
1447	1	5
1448	1	6
1449	2	5
1450	1	5
1451	1	5
1452	2	5
1453	2	5
1454	1	5
1455	2	4
1456	2	5
1457	2	5
1458	1	5
1459	2	5
1460	2	5
1461	2	5
1462	2	4
1463	1	5
1464	1	5
1465	1	5
1466	1	5
1467	1	5
1468	1	6
1469	2	4
1470	1	6
1471	2	5
1472	1	4
1473	1	6
1474	2	5
1475	1	5
1476	1	5
1477	1	6
1478	2	4
1479	1	6
1480	2	5
1481	1	6
1482	1	7
1483	2	5
1484	1	5
1485	1	7
1486	1	4
1487	1	5
1488	1	5
1489	1	6
1490	1	5
1491	3	6
1492	1	5
1493	1	7
1494	1	6
1495	2	5
1496	1	6
1497	1	6
1498	2	6
1499	1	6
1500	1	6
1501	1	6
1502	1	5
1503	2	7
1504	1	6
1505	2	7
1506	1	7
1507	2	6
1508	2	6
1509	1	6
1510	1	6
1511	2	6
1512	2	7
1513	1	6
1514	1	5
1515	1	6
1516	1	6
1517	2	6
1518	3	6
1519	2	6
1520	1	5
1521	2	6
1522	2	6
1523	1	6
1524	1	6
1525	2	6
1526	1	6
1527	1	7
1528	2	6
1529	2	6
1530	3	6
1531	2	6
1532	1	7
1533	1	6
1534	1	6
1535	1	6
1536	3	6
1537	1	6
1538	2	7
1539	2	5
1540	2	7
1541	2	6
1542	2	6
1543	2	6
1544	2	6
1545	2	6
1546	2	2
1547	2	4
1548	2	3
1549	1	4
1550	1	3
1551	2	4
1552	1	3
1553	1	4
1554	1	3
1555	1	6
1556	1	3
1557	2	3
1558	1	6
1559	1	4
1560	1	3
1561	1	4
1562	1	6
1563	1	5
1564	1	3
1565	1	3
1566	1	4
1567	1	3
1568	1	3
1569	1	5
1570	2	3
1571	2	2
1572	1	2
1573	2	2
1574	2	4
1575	1	4
1576	2	4
1577	1	2
1578	1	4
1579	1	3
1580	1	3
1581	1	4
1582	1	4
1583	1	5
1584	1	2
1585	2	4
1586	1	6
1587	2	3
1588	1	4
1589	2	2
1590	2	2
1591	1	3
1592	3	4
1593	2	2
1594	1	5
1595	1	6
1596	1	2
1597	2	4
1598	3	4
1599	1	2
1600	1	3
1601	3	3
1602	2	3
1603	1	4
1604	1	6
1605	2	4
1606	1	4
1607	1	4
1608	2	2
1609	2	4
1610	1	4
1611	1	2
1612	1	4
1613	1	3
1614	1	4
1615	2	3
1616	1	3
1617	1	4
1618	1	7
1619	3	3
1620	1	4
1621	2	3
1622	1	4
1623	1	2
1624	1	4
1625	2	3
1626	2	2
1627	2	2
1628	1	4
1629	2	2
1630	3	3
1631	1	7
1632	1	5
1633	2	2
1634	2	3
1635	1	3
1636	1	5
1637	1	4
1638	1	4
1639	2	3
1640	1	3
1641	1	5
1642	1	3
1643	1	3
1644	1	6
1645	1	4
1646	1	4
1647	2	2
1648	1	4
1649	2	6
1650	1	3
1651	1	3
1652	1	6
1653	1	6
1654	1	3
1655	1	5
1656	3	3
1657	1	2
1658	2	3
1659	1	4
1660	1	6
1661	1	2
1662	1	4
1663	1	5
1664	1	3
1665	1	5
1666	1	3
1667	1	4
1668	1	2
1669	3	3
1670	1	5
1671	2	4
1672	1	5
1673	2	2
1674	2	4
1675	1	4
1676	1	3
1677	1	5
1678	2	3
1679	2	6
1680	2	3
1681	1	8
1682	1	4
1683	3	3
1684	3	3
1685	2	4
1686	3	3
1687	3	3
1688	1	3
1689	2	3
1690	1	5
1691	3	3
1692	1	4
1693	3	3
1694	3	3
1695	1	3
1696	1	5
1697	1	7
1698	1	5
1699	3	5
1700	1	5
1701	3	3
1702	2	5
1703	2	3
1704	1	4
1705	1	3
1706	2	4
1707	1	9
1708	1	4
1709	2	3
1710	1	3
1711	1	3
1712	1	6
1713	2	5
1714	2	4
1715	1	4
1716	1	5
1717	1	5
1718	1	6
1719	2	3
1720	1	5
1721	1	5
1722	1	5
1723	1	3
1724	1	3
1725	2	3
1726	2	5
1727	2	6
1728	1	5
1729	2	4
1730	1	4
1731	1	3
1732	1	4
1733	2	4
1734	1	4
1735	2	4
1736	1	5
1737	2	5
1738	1	5
1739	3	4
1740	1	5
1741	3	4
1742	3	4
1743	2	3
1744	1	5
1745	1	5
1746	3	3
1747	3	5
1748	3	5
1749	1	8
1750	3	5
1751	2	3
1752	1	8
1753	3	8
1754	1	8
1755	3	3
1756	3	3
1757	1	5
1758	3	5
1759	1	5
1760	3	4
1761	3	4
1762	3	4
1763	1	4
1764	3	3
1765	2	5
1766	1	5
1767	1	4
1768	3	5
1769	1	7
1770	1	3
1771	3	4
1772	3	5
1773	1	5
1774	3	6
1775	1	6
1776	1	4
1777	3	4
1778	1	4
1779	1	4
1780	1	2
1781	3	5
1782	3	3
1783	1	5
1784	3	5
1785	1	5
1786	1	7
1787	1	5
1788	1	5
1789	3	8
1790	2	5
1791	1	6
1792	1	5
1793	2	5
1794	1	9
1795	3	3
1796	1	5
1797	1	8
1798	1	3
1799	1	8
1800	1	6
1801	1	5
1802	2	4
1803	3	6
1804	2	4
1805	2	3
1806	2	5
1807	3	3
1808	2	6
1809	3	6
1810	3	5
1811	1	9
1812	2	2
1813	1	5
1814	2	5
1815	1	8
1816	3	5
1817	1	6
1818	1	5
1819	3	4
1820	1	5
1821	3	7
1822	3	3
1823	1	5
1824	1	3
1825	1	3
1826	3	4
1827	2	5
1828	2	4
1829	1	5
1830	1	4
1831	1	4
1832	1	5
1833	3	5
1834	2	5
1835	1	7
1836	1	6
1837	1	6
1838	2	5
1839	1	5
1840	1	8
1841	1	5
1842	1	6
1843	1	5
1844	1	5
1845	1	7
1846	2	6
1847	1	8
1848	3	5
1849	1	7
1850	1	9
1851	1	5
1852	2	3
1853	1	8
1854	1	7
1855	1	5
1856	1	5
1857	3	5
1858	1	7
1859	3	5
1860	3	6
1861	3	6
1862	3	6
1863	3	6
1864	3	6
1865	3	4
1866	3	4
1867	3	7
1868	3	4
1869	3	5
1870	3	5
1871	3	5
1872	3	5
1873	1	5
1874	3	4
1875	1	6
1876	1	9
1877	2	4
1878	2	6
1879	1	8
1880	1	5
1881	2	5
1882	1	6
1883	3	5
1884	1	4
1885	3	4
1886	3	4
1887	2	5
1888	1	5
1889	3	5
1890	3	5
1891	3	4
1892	3	5
1893	1	5
1894	3	4
1895	1	5
1896	3	5
1897	3	6
1898	3	4
1899	1	7
1900	3	7
1901	3	4
1902	3	7
1903	3	4
1904	3	4
1905	2	5
1906	3	4
1907	3	7
1908	3	4
1909	3	4
1910	3	4
1911	3	4
1912	3	4
1913	3	7
1914	3	5
1915	3	5
1916	3	5
1917	3	6
1918	1	4
1919	3	5
1920	3	4
1921	3	4
1922	3	6
1923	1	5
1924	3	5
1925	3	6
1926	3	6
1927	3	6
1928	3	6
1929	3	6
1930	3	3
1931	3	3
1932	2	3
1933	2	5
1934	1	5
1935	2	4
1936	1	3
1937	3	4
1938	3	5
1939	3	6
1940	2	6
1941	3	4
1942	3	4
1943	1	2
1944	2	6
1945	3	4
1946	3	6
1947	3	4
1948	3	5
1949	1	6
1950	3	6
1951	2	4
1952	2	4
1953	2	4
1954	3	6
1955	3	3
1956	2	5
1957	3	5
1958	3	5
1959	1	7
1960	3	6
1961	1	8
1962	1	8
1963	1	8
1964	1	8
1965	1	8
1966	1	6
1967	1	6
1968	1	6
1969	1	6
1970	1	3
1971	1	7
1972	1	8
1973	1	7
1974	2	6
1975	3	5
1976	3	5
1977	2	8
1978	2	8
1979	3	8
1980	3	8
1981	1	8
1982	1	6
1983	1	6
1984	1	7
1985	3	6
1986	3	6
1987	1	9
1988	1	10
1989	3	7
1990	3	6
1991	3	6
1992	1	6
1993	3	6
1994	3	6
1995	3	6
1996	1	9
1997	3	5
1998	3	4
1999	1	7
2000	1	7
2001	3	6
2002	1	6
2003	3	5
2004	3	7
2005	1	7
2006	1	8
2007	1	6
2008	3	6
2009	2	8
2010	1	6
2011	1	6
2012	3	5
2013	3	5
2014	3	6
2015	2	6
2016	2	6
2017	1	7
2018	2	6
2019	2	6
2020	1	8
2021	1	7
2022	1	6
2023	3	6
2024	2	6
2025	1	7
2026	2	6
2027	3	7
2028	1	7
2029	2	8
2030	1	7
2031	2	6
2032	2	6
2033	2	6
2034	1	5
2035	1	8
2036	1	7
2037	1	8
2038	1	7
2039	2	6
2040	1	6
2041	1	7
2042	1	6
2043	2	6
2044	2	5
2045	1	6
2046	2	5
2047	1	6
2048	2	7
2049	1	6
2050	2	7
2051	1	7
2052	1	6
2053	1	7
2054	1	8
2055	1	6
2056	2	7
2057	3	7
2058	1	8
2059	1	7
2060	1	8
2061	3	8
2062	1	8
2063	2	6
2064	3	7
2065	2	7
2066	1	9
2067	1	8
2068	1	7
2069	2	6
2070	2	7
2071	1	8
2072	1	7
2073	1	7
2074	1	8
2075	1	8
2076	2	7
2077	1	8
2078	2	7
2079	1	8
2080	1	7
2081	1	8
2082	1	7
2083	1	7
2084	1	7
2085	1	7
2086	1	7
2087	1	8
2088	2	7
2089	1	8
2090	1	7
2091	2	7
2092	2	7
2093	1	8
2094	2	7
2095	1	7
2096	1	7
2097	1	8
2098	1	8
2099	1	7
2100	1	7
2101	1	8
2102	1	7
2103	1	7
2104	1	8
2105	1	7
2106	1	7
2107	1	8
2108	1	8
2109	2	8
2110	1	8
2111	1	8
2112	1	8
2113	1	6
2114	2	6
2115	1	8
2116	1	8
2117	1	8
2118	1	9
2119	1	8
2120	1	8
2121	1	7
2122	1	7
2123	1	7
2124	1	8
2125	1	8
2126	1	8
2127	1	6
2128	1	7
2129	2	7
2130	1	8
2131	1	8
2132	1	7
2133	1	7
2134	1	7
2135	1	7
2136	3	7
2137	1	8
2138	1	7
2139	1	9
